property_id,zone,area_sqft,bedrooms,bathrooms,age_years,price
P1195,Industrial Fringe,578.7,1,1,32,1802000
P1196,Industrial Fringe,634.7,1,1,32,1977000
P1197,Industrial Fringe,1025.1,4,4,12,3547000
P1198,Industrial Fringe,1213.6,5,4,29,3827000
P1199,Industrial Fringe,1286.0,3,3,32,4375000
P1200,Industrial Fringe,702.2,3,2,12,2311000
P1201,Industrial Fringe,1259.2,3,2,25,4792000
P1202,Industrial Fringe,1038.7,3,3,21,3369000
P1203,Industrial Fringe,879.2,2,2,38,2922000
P1204,Industrial Fringe,937.9,1,1,1,3269000
P1205,Industrial Fringe,1300.5,4,4,37,4060000
P1206,Industrial Fringe,1168.5,2,1,38,3361000
P1207,Industrial Fringe,1112.6,4,4,25,3264000
P1208,Industrial Fringe,1160.9,2,2,14,3410000
P1209,Industrial Fringe,1332.0,1,1,33,3686000
P1210,Industrial Fringe,1075.7,2,2,39,3454000
P1211,Industrial Fringe,1113.6,3,2,10,3207000
P1212,Industrial Fringe,1384.5,5,5,2,4387000
P1213,Industrial Fringe,1017.1,2,2,5,3097000
P1214,Industrial Fringe,1254.5,4,4,8,3871000
P1215,Industrial Fringe,974.1,3,2,5,3209000
P1216,Industrial Fringe,996.0,4,4,8,2899000
P1217,Industrial Fringe,1074.0,2,2,38,3570000
P1218,Industrial Fringe,1228.8,4,3,30,4483000
P1219,Industrial Fringe,1398.5,4,4,31,12473000
P1220,Rural Outskirts,2353.8,4,3,10,2969000
P1221,Rural Outskirts,2103.0,2,2,38,4157000
P1222,Rural Outskirts,1811.4,2,2,23,3700000
P1223,Rural Outskirts,2432.1,3,2,18,5043000
P1224,Rural Outskirts,2180.9,2,1,3,3838000
P1225,Rural Outskirts,2978.5,3,3,25,6541000
P1226,Rural Outskirts,1636.2,3,3,37,3889000
P1227,Rural Outskirts,1830.6,3,2,31,3148000
P1228,Rural Outskirts,2427.5,2,2,38,4096000
P1229,Rural Outskirts,1182.6,3,2,35,2173000
P1230,Rural Outskirts,2326.8,3,3,39,3910000
P1231,Rural Outskirts,1975.7,3,3,36,3248000
P1232,Rural Outskirts,1444.7,3,2,32,2407000
P1233,Rural Outskirts,1254.8,1,1,35,2797000
P1234,Rural Outskirts,1531.0,3,3,2,1340000
P1235,Rural Outskirts,886.1,2,2,8,1488000
P1236,Rural Outskirts,1604.2,3,3,7,1903000
P1237,Rural Outskirts,2049.0,4,3,32,2897000
P1238,Rural Outskirts,1609.5,3,3,5,3100000
P1239,Rural Outskirts,2355.3,3,3,38,2990000
P1240,Rural Outskirts,2464.0,5,4,3,4616000
P1241,Rural Outskirts,2310.3,4,3,12,3543000
P1242,Rural Outskirts,1892.3,4,4,1,3449000
P1243,Rural Outskirts,870.1,4,4,4,1580000
P1244,Rural Outskirts,1518.5,2,1,26,2779000
P1245,Rural Outskirts,1743.2,2,1,31,2966000
P1246,Rural Outskirts,1442.5,3,3,20,2442000
P1247,Rural Outskirts,1744.2,2,2,7,2825000
P1248,Rural Outskirts,2444.0,3,3,37,4695000
P1249,Rural Outskirts,1141.7,2,1,7,2285000
P1250,Rural Outskirts,2524.7,3,2,2,3775000
P1251,Rural Outskirts,2153.9,3,2,2,3849000
P1252,Rural Outskirts,1907.3,3,2,21,3527000
P1253,Rural Outskirts,1514.6,3,2,5,2796000
P1254,Rural Outskirts,1450.4,4,4,1,2671000
P1255,Rural Outskirts,1149.5,3,3,22,1954000
P1256,Rural Outskirts,2486.7,4,4,1,4650000
P1257,Rural Outskirts,2415.0,1,1,37,4720000
P1258,Rural Outskirts,1237.5,5,4,16,2271000
P1259,Rural Outskirts,1578.9,3,3,34,3042000
P1260,Rural Outskirts,1973.3,2,2,33,4040000
P1261,Rural Outskirts,1680.2,2,2,22,7600000
P1262,Rural Outskirts,1032.5,3,3,29,2102000
P1263,Rural Outskirts,1536.9,2,2,7,2898000
P1264,Rural Outskirts,2580.4,2,2,21,3928000
P1265,Rural Outskirts,1564.0,3,2,35,3129000
P1266,Rural Outskirts,1734.6,3,3,4,2950000
P1267,Rural Outskirts,1341.9,3,2,12,2328000
P1268,Rural Outskirts,2035.1,4,4,28,3405000
P1269,Rural Outskirts,1846.1,3,3,30,3462000
P1270,Rural Outskirts,1503.2,3,3,15,2411000
P1271,Rural Outskirts,1278.1,1,1,29,2589000
P1272,Rural Outskirts,2361.8,3,2,15,4169000
P1273,Rural Outskirts,1157.8,2,2,11,1979000
P1274,Rural Outskirts,2001.5,5,5,16,3979000
